CCG or Health Board;Practice Name;Abtard;Ebesque XL;Fencino;Venlalic XL;Grand Total
ABERTAWE BRO MORGAN UNI;36 Victoria Avenue;834;0;801;576; 2 211,00
ABERTAWE BRO MORGAN UNI;Abmu GP OOH Service;105;38;119;8;270
ABERTAWE BRO MORGAN UNI;Abmu GP OOH Service, C/O The Grove Medical Centre;0;0;0;0;0
ABERTAWE BRO MORGAN UNI;Alfred St. Primary Care Centre;75; 1 233,00;0;22; 1 330,00
ABERTAWE BRO MORGAN UNI;Amman Tawe Partnership;695; 1 043,00;384;2; 2 124,00
ABERTAWE BRO MORGAN UNI;Ashfield Surgery;695; 2 405,00;103;755; 3 958,00
ABERTAWE BRO MORGAN UNI;Blaengwynfi Health Centre; 1 062,00; 2 792,00;589;249; 4 692,00
ABERTAWE BRO MORGAN UNI;Briton Ferry Health Centre;0;0;0;0;0
ABERTAWE BRO MORGAN UNI;Bron Y Garn Surgery; 4 397,00; 3 565,00;38; 1 153,00; 9 153,00
ABERTAWE BRO MORGAN UNI;Brunswick Health Centre;109;670; 1 520,00;0; 2 299,00
ABERTAWE BRO MORGAN UNI;Brynhyfryd Surgery;566; 4 113,00;29;194; 4 902,00
ABERTAWE BRO MORGAN UNI;Castle Surgery; 4 380,00; 4 853,00; 1 184,00;5; 10 422,00
ABERTAWE BRO MORGAN UNI;Cheriton Medical Centre;0;213;0;0;213
ABERTAWE BRO MORGAN UNI;Clase Surgery;264; 1 677,00;240;380; 2 561,00
ABERTAWE BRO MORGAN UNI;Clydach Primary Care Centre;221; 2 340,00;413;120; 3 094,00
ABERTAWE BRO MORGAN UNI;Cockett Surgery;6; 1 020,00;792;384; 2 202,00
ABERTAWE BRO MORGAN UNI;Cwm Garw Practice; 2 635,00; 3 212,00; 1 155,00; 2 783,00; 9 785,00
ABERTAWE BRO MORGAN UNI;Cwmavon Health Centre; 1 747,00; 1 946,00;908;57; 4 658,00
ABERTAWE BRO MORGAN UNI;Cwmfelin Medical Centre;934; 2 733,00;145;487; 4 299,00
ABERTAWE BRO MORGAN UNI;Cwmllynfell Surgery;0;0;0;0;0
ABERTAWE BRO MORGAN UNI;Dr C Locum's Practice;101;784;395;5; 1 285,00
ABERTAWE BRO MORGAN UNI;Dulais Valley Prim Care Ctre;159;336;468;466; 1 429,00
